link,updated,country,headquarters,industry,ceo,website,ticker,company_type,revenues,profits,market_value,employee_count,revenues_m,profits_m,assets_m,stockholder_equity_m,profit_margin,profit_as_percent_assets,profit_as_percent_equity
https://fortune.com/company/3m/,8/5/24,U.S.,St. Paul,Chemicals,William M. Brown,https://www.3m.com,MMM,Public,"$32,681","$-6,995","$56,841","85,000","$32,681-4.5%","$-6,995-221.1%","$50,580-","$4,807-",-21.4%,-13.8%,-145.5%
https://fortune.com/company/abb/,1/29/25,Switzerland,Zurich,Industrial Machinery,Morten  Wierod,https://www.abb.com,ABBNY,Public,"$32,505","$3,869","$101,008","107,900","$32,2359.47%","$3,74551.31%","$40,940-","$13,410-",11.62%,9.15%,27.93%
https://fortune.com/company/abbott-laboratories/,1/29/25,U.S.,"Abbott Park, Ill.",Medical Products and Equipment,Robert B. Ford,https://www.abbott.com,ABT,Public,"$41,950","$13,402","$192,698","114,000","$40,109-8.1%","$5,723-17.5%","$73,214-","$38,603-",14.3%,7.8%,14.8%
https://fortune.com/company/abbvie/,1/29/25,U.S.,"North Chicago, Ill.",Pharmaceuticals,Robert A. Michael,https://www.abbvie.com,ABBV,Public,"$55,533","$5,122","$302,799","50,000","$54,318-6.4%","$4,863-58.9%","$134,711-","$10,360-",9%,3.6%,46.9%
https://fortune.com/company/accenture/,1/29/25,Ireland,Dublin,Information Technology Services,Julie Sweet,https://www.accenture.com,ACN,Public,"$66,362","$7,570","$218,994","799,000","$64,896.51.22%","$7,264.85.72%","$55,932-","$28,289-",11.19%,12.99%,25.68%
https://fortune.com/company/acs/,10/23/24,Spain,Madrid,"Engineering, Construction",Juan Santamaria Cases,https://www.grupoacs.com,ACSAY,Public,"$38,635",$843,"$11,972","122,979","$38,634.69.28%",$843.420%,"$40,312-","$5,886-",2.18%,2.09%,14.33%
https://fortune.com/company/aeon/,8/5/24,Japan,"Chiba, Japan",Food & Drug Stores,Akio Yoshida,https://www.aeon.info,AONNY,Public,"$66,727",$312,"$18,151","381,084","$66,727-1.9%",$312.295.8%,"$86,485.8-","$6,104.4-",0.5%,0.4%,5.1%
https://fortune.com/company/agricultural-bank-of-china/,8/5/24,China,Beijing,Banks: Commercial and Savings,Gu  Shu,https://www.abchina.com,ACGBY,Public,"$192,398","$38,049","$221,308","451,003","$192,398.32.9%","$38,048.7-1.2%","$5,617,654.6-","$407,062.5-",19.8%,0.7%,9.4%
https://fortune.com/company/aia-group/,11/6/24,China,Hong Kong,"Insurance: Life, Health (stock)",Lee Yuan Siong,https://www.aia.com,AAGIY,Public,"$34,851","$3,764","$79,085","27,320","$34,85182.4%","$3,7641234.8%","$286,319-","$41,111-",10.8%,1.3%,9.2%
https://fortune.com/company/aig/,8/5/24,U.S.,New York City,Insurance: Property and Casualty (Stock),Peter S. Zaffino,https://www.aig.com,AIG,Public,"$46,802","$3,643","$51,514","25,200","$46,802-17.1%","$3,643-64.6%","$539,306-","$45,351-",7.8%,0.7%,8%
https://fortune.com/company/air-france-klm-group/,1/29/25,France,Paris,Airlines,Benjamin M. Smith,https://www.airfranceklm.com,AFLYY,Public,"$33,600",$133,"$1,924","80,598","$32,452.316.91%","$1,009.731.87%","$38,094-","$-2,265-",3.11%,2.65%,-
https://fortune.com/company/airbus-group/,1/29/25,Netherlands,"Leiden, Netherlands",Aerospace and Defense,Guillaume Faury,https://www.airbus.com,EADSY,Public,"$75,173","$3,642","$125,811","156,569","$70,75114.48%","$4,096.1-8.3%","$131,291-","$19,544-",5.79%,3.12%,20.96%
https://fortune.com/company/aisin-seiki/,8/5/24,Japan,"Kariya, Japan",Motor Vehicles & Parts,Moritaka Yoshida,https://www.aisin.com,ASEKY,Public,"$33,970",$628,"$9,958","115,140","$33,969.64.4%",$628.3125.8%,"$30,703.7-","$14,124-",1.9%,2.1%,4.5%
https://fortune.com/company/albertsons-cos/,8/5/24,U.S.,Boise,Food & Drug Stores,Vivek Sankaran,https://www.albertsonscompanies.com,ACI,Public,"$79,238","$1,296","$11,333","196,650","$79,237.72.1%","$1,296-14.4%","$26,221.1-","$2,747.5-",1.6%,4.9%,47.2%
https://fortune.com/company/alibaba-group-holding/,1/29/25,China,"Hangzhou, China",Internet Services and Retailing,Eddie  Wu,https://www.alibabagroup.com,BABA,Public,"$133,554","$11,987","$196,357","197,991","$131,337.93.6%","$11,165.15.1%","$244,426-","$136,634.8-",8.5%,4.6%,8.2%
https://fortune.com/company/alimentation-couche-tard/,1/29/25,Canada,"Laval, Quebec, Canada",Specialty Retailers,Alex  Miller,https://corpo.couche-tard.com,ANCTF,Public,"$72,898","$2,576","$49,779","149,000","$71,856.714.4%","$3,090.915.2%","$29,049.2-","$12,564.5-",4.3%,10.6%,24.6%
https://fortune.com/company/allianz/,10/23/24,Germany,Munich,"Insurance: Life, Health (stock)",Oliver Bäte,https://www.allianz.com,ALIZY,Public,"$113,518","$9,233","$126,749","157,883","$113,517.7-12.04%","$9,233.330.29%","$1,085,900-","$64,587-",8.13%,0.85%,14.3%
https://fortune.com/company/allstate/,8/5/24,U.S.,"Northbrook, Ill.",Insurance: Property and Casualty (Stock),Thomas J. Wilson,https://www.allstate.com,ALL,Public,"$57,094",$-188,"$44,050","53,200","$57,09411.1%",$-188-,"$103,362-","$17,770-",-0.3%,-0.2%,-1.1%
https://fortune.com/company/alphabet/,1/29/25,U.S.,"Mountain View, Calif.",Internet Services and Retailing,Sundar Pichai,https://www.abc.xyz,GOOGL,Public,"$339,859","$94,269","$2,402,259","181,269","$307,3948.7%","$73,79523.1%","$402,392-","$283,379-",24%,18.3%,26%
https://fortune.com/company/aluminum-corp-of-china/,8/5/24,China,Beijing,Metals,Duan Xiangdong,https://www.chinalco.com.cn,,Private,"$63,595",$877,,"124,995","$63,595.4-17.4%",$876.5-48.4%,"$86,868-","$15,470-",1.4%,1%,5.7%
https://fortune.com/company/amazon-com/,1/29/25,U.S.,Seattle,Internet Services and Retailing,Andrew R. Jassy,https://www.amazon.com,AMZN,Public,"$620,128","$49,868","$2,348,528","1,551,000","$574,78511.8%","$30,425-","$527,854-","$201,875-",5.3%,5.8%,15.1%
https://fortune.com/company/america-movil/,8/5/24,Mexico,Mexico City,Telecommunications,Daniel Hajj Aboumrad,https://www.americamovil.com,AMX,Public,"$46,011","$4,292","$55,748","176,083","$46,010.97.7%","$4,291.513.3%","$92,397.4-","$21,661.9-",9.3%,4.6%,19.8%
https://fortune.com/company/american-airlines-group/,8/5/24,U.S.,Fort Worth,Airlines,Robert D. Isom,https://www.aa.com,AAL,Public,"$52,788",$822,"$6,947","132,100","$52,7887.8%",$822547.2%,"$63,058-","$-5,202-",1.6%,1.3%,-
https://fortune.com/company/american-express/,1/29/25,U.S.,New York City,Consumer Credit Card and Related Services,Stephen J. Squeri,https://www.americanexpress.com,AXP,Public,"$74,201","$10,129","$220,012","74,600","$67,36421.1%","$8,37411.5%","$261,108-","$28,057-",12.4%,3.2%,29.9%
https://fortune.com/company/anheuser-busch-inbev/,10/23/24,Belgium,Leuven,Beverages,Michel Doukeris,https://www.ab-inbev.com,BUD,Public,"$59,380","$5,341","$130,061","154,540","$59,3802.76%","$5,341-10.52%","$219,340-","$81,848-",8.99%,2.44%,6.53%
https://fortune.com/company/ansteel-group/,8/5/24,China,"Anshan, China",Metals,Tan Chengxu,https://www.ansteel.cn,,Private,"$40,685",$-83,,"149,765","$40,684.6-18.7%",$-83.1-113.7%,"$68,003.3-","$13,133.1-",-0.2%,-0.1%,-0.6%
https://fortune.com/company/australia-new-zealand-banking-group/,8/5/24,Australia,"Docklands, Australia",Banks: Commercial and Savings,Shayne Elliott,https://www.anz.com,ANZGY,Public,"$46,828","$4,724","$60,779","40,342","$46,827.7133.6%","$4,724-6.8%","$712,705.5-","$44,816.6-",10.1%,0.7%,10.5%
https://fortune.com/company/apollo-global-management/,10/29/2024,U.S.,New York City,Securities,Marc Rowan,https://www.apollo.com,APO,Public,"$34,383","$5,464","$75,577","2,903","$32,644180.8%","$5,047-","$313,488-","$12,646-",15.5%,1.6%,39.9%
https://fortune.com/company/apple/,1/29/25,U.S.,"Cupertino, Calif.",Computers,Timothy D. Cook,https://www.apple.com,AAPL,Public,"$391,035","$93,736","$3,577,059","164,000","$383,285-2.8%","$96,995-2.8%","$352,583-","$62,146-",25.3%,27.5%,156.1%
https://fortune.com/company/arcelormittal/,1/29/25,Luxembourg,Luxembourg,Metals,Aditya Mittal,https://www.arcelormittal.com,MT,Public,"$62,279","$-1,237","$19,641","126,756","$68,275-14.49%",$919-90.12%,"$93,917-","$53,961-",1.35%,0.98%,1.7%
https://fortune.com/company/archer-daniels-midland/,8/5/24,U.S.,Chicago,Food Production,Juan R. Luciano,https://www.adm.com,ADM,Public,"$93,935","$3,483","$31,347","41,008","$93,935-7.5%","$3,483-19.8%","$54,631-","$24,132-",3.7%,6.4%,14.4%
https://fortune.com/company/arrow-electronics/,1/29/25,U.S.,"Centennial, Colo.",Wholesalers: Electronics and Office Equipment,Sean J. Kerins,https://www.arrow.com,ARW,Public,"$28,490",$487,"$6,007","22,100","$33,107.1-10.8%",$903.5-36.7%,"$21,726.2-","$5,805.5-",2.7%,4.2%,15.6%
https://fortune.com/company/assicurazioni-generali/,10/23/24,Italy,Trieste,"Insurance: Life, Health (stock)",Philippe R. Donnet,https://www.generali.com,ARZGY,Public,"$57,023","$4,051","$44,654","81,879","$57,022.6-33.5%","$4,050.732.26%","$561,753-","$31,995-",7.1%,0.72%,12.66%
https://fortune.com/company/astrazeneca/,1/29/25,U.K.,"Cambridge, Britain",Pharmaceuticals,Pascal Soriot,https://www.astrazeneca.com,AZN,Public,"$51,206","$6,495","$201,672","89,900","$45,8113.29%","$5,95581.11%","$101,119-","$39,143-",13%,5.89%,15.21%
https://fortune.com/company/att/,1/29/25,U.S.,Dallas,Telecommunications,John T. Stankey,https://www.att.com,T,Public,"$122,336","$10,948","$157,211","140,990","$122,4281.4%","$14,400-","$407,060-","$103,297-",11.8%,3.5%,13.9%
https://fortune.com/company/aviation-industry-corp-of-china/,8/5/24,China,Beijing,Aerospace & Defense,Zhou  Xinmin,https://www.avic.com,,Private,"$82,654","$1,644",,"384,000","$82,654.11.2%","$1,644.17.6%","$187,461.3-","$35,726.4-",2%,0.9%,4.6%
https://fortune.com/company/axa/,10/23/24,France,Paris,"Insurance: Life, Health (stock)",Thomas Buberl,https://www.axa.com,AXAHY,Public,"$90,406","$7,772","$82,499","94,705","$90,405.8-17.11%","$7,771.710.7%","$711,784-","$54,759-",8.6%,1.09%,14.19%
https://fortune.com/company/banco-bilbao-vizcaya-argentaria/,10/23/24,Spain,Bilbao,Banks: Commercial and Savings,Onur Genç,https://www.bbva.com,BBVA,Public,"$66,978","$8,669","$59,342","121,486","$66,978.146.35%","$8,66928.39%","$856,592-","$57,103-",12.94%,1.01%,15.18%
https://fortune.com/company/banco-bradesco/,8/5/24,Brazil,"Osasco, Brazil",Banks: Commercial and Savings,Marcelo  de Ara?jo Noronha,https://www.bradesco.com.br,BBD,Public,"$56,491","$2,854","$23,541","79,583","$56,490.59.5%","$2,854.2-29.8%","$397,255.5-","$34,280.2-",5.1%,0.7%,8.3%
https://fortune.com/company/banco-do-brasil/,8/5/24,Brazil,"Brasilia, Brazil",Banks: Commercial and Savings,Tarciana Paula Gomes Medeiros,https://www.bb.com.br,BDORY,Public,"$63,322","$5,980","$28,342","86,220","$63,322.214.5%","$5,980.411.7%","$443,906.4-","$34,878.8-",9.4%,1.4%,17.2%
https://fortune.com/company/banco-santander/,1/29/25,Spain,Madrid,Megabanks,H?ctor Blas Grisi Checa,https://www.santander.com,SAN,Public,"$138,243","$13,273","$74,274","208,080","$137,244.838.31%","$11,973.818.53%","$1,984,827-","$105,393-",8.72%,0.6%,11.36%
https://fortune.com/company/bank-of-america-corp/,1/29/25,U.S.,"Charlotte, N.C.",Megabanks,Brian T. Moynihan,https://www.bankofamerica.com,BAC,Public,"$192,434","$27,132","$361,393","213,193","$171,91249.4%","$26,515-3.7%","$3,180,151-","$291,646-",15.4%,0.8%,9.1%
https://fortune.com/company/bank-of-china/,8/5/24,China,Beijing,Banks: Commercial and Savings,Ge Haijiao,https://www.boc.cn,BACHY,Public,"$172,328","$32,758","$178,732","306,931","$172,327.69.8%","$32,758.3-3.1%","$4,569,326.6-","$370,468.3-",19%,0.7%,8.8%
https://fortune.com/company/bank-of-communications/,8/5/24,China,Shanghai,Banks: Commercial and Savings,Ren Deqi,https://www.bankcomm.com,BCMXY,Public,"$78,757","$13,099","$66,844","94,275","$78,757.10.7%","$13,098.6-4.4%","$1,980,962-","$153,291.2-",16.6%,0.7%,8.5%
https://fortune.com/company/bank-of-montreal/,8/5/24,Canada,Toronto,Banks: Commercial and Savings,Darryl White,https://www.bmo.com,BMO,Public,"$50,495","$3,237","$63,286","55,767","$50,49545.4%","$3,237-69.2%","$931,889.3-","$55,490-",6.4%,0.4%,5.8%
https://fortune.com/company/bank-of-new-york-mellon-corp/,1/29/25,U.S.,New York City,Megabanks,Robin Vince,https://www.bnymellon.com,BK,Public,"$39,914","$4,530","$59,650","51,800","$33,80569.1%","$3,28627.7%","$409,953-","$40,874-",9.7%,0.8%,8%
https://fortune.com/company/bank-of-nova-scotia/,8/5/24,Canada,Toronto,Banks: Commercial and Savings,Scott Thomson,https://www.scotiabank.com,BNS,Public,"$52,536","$5,495","$58,001","89,483","$52,535.844.4%","$5,495-28.6%","$1,016,565.1-","$55,431.6-",10.5%,0.5%,9.9%
https://fortune.com/company/barclays/,10/23/24,Britain,London,Banks: Commercial and Savings,C.S. Venkatakrishnan,https://www.home.barclays,BCS,Public,"$63,801","$6,536","$44,466","92,400","$63,800.641.71%","$6,535.9-10.57%","$1,883,109-","$90,752-",10.24%,0.35%,7.2%
https://fortune.com/company/basf/,1/29/25,Germany,"Ludwigshafen, Germany",Chemicals,Markus  Kamieth,https://www.basf.com,BASFY,Public,"$70,774",$540,"$40,555","112,078","$74,487.2-18.9%",$243.2-,"$85,482-","$38,963-",0.33%,0.28%,0.62%
