Ticker,2023 Debt,2023 Equity,2023 Revenue,2023 Operating Cash Flow,2023 Capital Expenditure,2023 Current Assets,2023 Current Liabilities,2023 Current Income,2022 Debt,2022 Equity,2022 Revenue,2022 Operating Cash Flow,2022 Capital Expenditure,2022 Current Assets,2022 Current Liabilities,2022 Current Income,2021 Debt,2021 Equity,2021 Revenue,2021 Operating Cash Flow,2021 Capital Expenditure,2021 Current Assets,2021 Current Liabilities,2021 Current Income,2024 Debt,2024 Equity,2024 Revenue,2024 Operating Cash Flow,2024 Capital Expenditure,2024 Current Assets,2024 Current Liabilities,2024 Current Income
ABT,15628000000.0,38603000000.0,40109000000.0,7261000000.0,-2202000000.0,22670000000.0,13841000000.0,6478000000.0,17716000000.0,36686000000.0,43653000000.0,9581000000.0,-1777000000.0,25224000000.0,15489000000.0,8362000000.0,19006000000.0,35802000000.0,43075000000.0,10533000000.0,-1885000000.0,24239000000.0,13105000000.0,8425000000.0,,,,,,,,
ABBV,59385000000.0,10360000000.0,54318000000.0,22839000000.0,-777000000.0,33002000000.0,37841000000.0,12757000000.0,63271000000.0,17254000000.0,58054000000.0,24943000000.0,-695000000.0,28463000000.0,29538000000.0,18117000000.0,76684000000.0,15408000000.0,56197000000.0,22777000000.0,-787000000.0,27928000000.0,35194000000.0,17924000000.0,,,,,,,,
GOOGL,28504000000.0,283379000000.0,307394000000.0,101746000000.0,-32251000000.0,171530000000.0,81814000000.0,84293000000.0,29679000000.0,256144000000.0,282836000000.0,91495000000.0,-31485000000.0,164795000000.0,69300000000.0,74842000000.0,28395000000.0,251635000000.0,257637000000.0,91652000000.0,-24640000000.0,188143000000.0,64254000000.0,78714000000.0,,,,,,,,
AMZN,135611000000.0,201875000000.0,574785000000.0,84946000000.0,-52729000000.0,172351000000.0,164917000000.0,36852000000.0,140118000000.0,146043000000.0,513983000000.0,46752000000.0,-63645000000.0,146791000000.0,155393000000.0,12248000000.0,116395000000.0,138245000000.0,469822000000.0,46327000000.0,-61053000000.0,161580000000.0,142266000000.0,24879000000.0,,,,,,,,
AAL,40663000000.0,-5202000000.0,52788000000.0,3803000000.0,-2596000000.0,13572000000.0,22062000000.0,4005000000.0,43687000000.0,-5799000000.0,48971000000.0,2173000000.0,-2546000000.0,15269000000.0,21496000000.0,1800000000.0,46177000000.0,-7340000000.0,29882000000.0,704000000.0,-208000000.0,17336000000.0,19006000000.0,-5065000000.0,,,,,,,,
AXP,49159000000.0,28057000000.0,60363000000.0,18559000000.0,-1563000000.0,,,,43921000000.0,24711000000.0,52560000000.0,21079000000.0,-1855000000.0,,,,40918000000.0,22177000000.0,43147000000.0,14645000000.0,-1550000000.0,,,,,,,,,,,
AAPL,111088000000.0,62146000000.0,383285000000.0,110543000000.0,-10959000000.0,143566000000.0,145308000000.0,114301000000.0,132480000000.0,50672000000.0,394328000000.0,122151000000.0,-10708000000.0,135405000000.0,153982000000.0,119437000000.0,,,,,,,,,106629000000.0,56950000000.0,391035000000.0,118254000000.0,-9447000000.0,152987000000.0,176392000000.0,123216000000.0
T,154899000000.0,103297000000.0,122428000000.0,38314000000.0,-17853000000.0,36458000000.0,51127000000.0,24654000000.0,154679000000.0,97500000000.0,120741000000.0,32023000000.0,-19626000000.0,33108000000.0,56173000000.0,22911000000.0,195832000000.0,166332000000.0,134038000000.0,41958000000.0,-15545000000.0,170768000000.0,106230000000.0,26110000000.0,,,,,,,,
BAC,334302000000.0,291646000000.0,98581000000.0,44982000000.0,,,,,302914000000.0,273197000000.0,94950000000.0,-6327000000.0,,,,,303870000000.0,270066000000.0,89113000000.0,-7193000000.0,,,,,,,,,,,,
BK,31736000000.0,40874000000.0,17293000000.0,5912000000.0,-1220000000.0,,,,30855000000.0,40734000000.0,16034000000.0,15068000000.0,-1346000000.0,,,,26680000000.0,43034000000.0,15633000000.0,2838000000.0,-1215000000.0,,,,,,,,,,,
